username,transaction_id,card_number,transaction_amount,card_type,transaction_date,merchant_type,transaction_status,customer_id,transaction_time
ubowdrey14,41,3558042460369517,6126.95,jcb,3/18/2022,online,approved,41,14.36
dsaleway15,42,4041595573148,4412.42,visa,8/1/2022,restaurant,approved,42,4.07
sheathwood16,43,5602252727141929,9559.81,bankcard,7/12/2022,restaurant,pending,43,7.85
cslinn17,44,5602247963390909,6825.11,bankcard,4/28/2022,retail,pending,44,0.12
lsanton18,45,4041590289901699,929.24,visa,2/24/2022,restaurant,declined,45,21.92
bthickin19,46,3543996725715004,4259.88,jcb,9/7/2022,retail,approved,46,2.16
jandrini1a,47,3570951448508992,175.8,jcb,6/24/2022,restaurant,declined,47,19.1
wkimmins1b,48,5359439519342824,3167.49,mastercard,12/22/2022,restaurant,declined,48,16.96
bkeaveney1c,49,3555805532123531,2848.08,jcb,6/26/2022,retail,approved,49,8.84
btelega1d,50,3581150005279330,4669.46,jcb,3/4/2022,online,approved,50,9.76
asilverthorne1e,51,3569943187018146,7398.32,jcb,10/10/2022,restaurant,declined,51,3.14
pgontier1f,52,201666659080555,9800.75,diners-club-enroute,10/7/2022,retail,declined,52,20.68
jlashmar1g,53,6383096133223398,5167.9,instapayment,1/31/2022,restaurant,pending,53,15.11
rmarkham1h,54,4405152234508242,3763.01,visa-electron,1/18/2022,online,declined,54,23.74
elebrun1i,55,676213945327064339,3032.71,maestro,4/7/2022,retail,pending,55,13.51
sbeaument1j,56,3532104067491036,4364.59,jcb,2/24/2022,online,pending,56,8.92
klodovichi1k,57,4913092917056462,6741.42,visa-electron,12/25/2022,restaurant,pending,57,19.85
kruprich1l,58,3534918037298173,7066.39,jcb,9/17/2022,restaurant,approved,58,19.83
rdoogood1m,59,5038700524408700604,8595.13,maestro,1/22/2022,online,pending,59,15.69
mrevens1n,60,3573530969409900,6456.22,jcb,12/15/2022,restaurant,pending,60,0.76
nfurber1o,61,3578212982936681,9672.85,jcb,2/9/2022,online,pending,61,15.48
cgandar1p,62,3559437954935782,6744.47,jcb,12/3/2022,retail,declined,62,9.05
bhutcheon1q,63,3540669531841313,4902.69,jcb,9/1/2022,retail,declined,63,20.42
bwebsdale1r,64,3582634504420643,2061.39,jcb,4/29/2022,online,declined,64,17.94
ctysall1s,65,4175006298727924,1948.32,visa-electron,5/8/2022,restaurant,pending,65,2.01
astansbie1t,66,3539420084572878,2451.85,jcb,9/2/2022,retail,pending,66,17.36
rjeandon1u,67,4917600693620867,3968.69,visa-electron,10/7/2022,retail,declined,67,5.96
hwanden1v,68,6761946525924627,7175.45,maestro,7/4/2022,restaurant,approved,68,14.15
evolant1w,69,3528206000700666,7988.9,jcb,2/21/2022,online,pending,69,15.29
nvanderveldt1x,70,3552155302743875,1903.38,jcb,2/25/2022,online,declined,70,23.45
bmatyas1y,71,6767605535149713127,9742.95,solo,7/12/2022,restaurant,declined,71,21.5
fdehooge1z,72,5010129878058365,7341.03,mastercard,6/17/2022,online,pending,72,10.35
jbrunskill20,73,5602252375275938,5800.66,bankcard,3/4/2022,restaurant,declined,73,7.92
gmcgonagle21,74,56022424289141259,7852.39,china-unionpay,10/17/2022,retail,pending,74,8.42
vbelvin22,75,30456881458598,5698.74,diners-club-carte-blanche,9/5/2022,restaurant,declined,75,16.05
byushkin23,76,6767935502523065780,2942.48,solo,12/25/2022,retail,pending,76,23.31
acaslin24,77,3546567819272116,2710.49,jcb,1/30/2022,retail,declined,77,11.82
jcantle25,78,3554380967499104,3727.27,jcb,11/23/2022,retail,approved,78,14.73
jdole26,79,3541391784998711,429.79,jcb,2/3/2022,retail,approved,79,4.54
aorteu27,80,5568726824630522,8259.16,diners-club-us-ca,11/30/2022,restaurant,declined,80,8.17
lnouch28,81,3547558572712017,4004.92,jcb,11/4/2022,online,declined,81,2.13
mpeck29,82,372301579364524,2004.52,americanexpress,1/11/2022,restaurant,declined,82,3.64
cwarr2a,83,3572594865601243,3913.51,jcb,2/8/2022,restaurant,pending,83,12.16
ghumby2b,84,6304981586448798,7223.86,laser,7/29/2022,online,pending,84,17.85
pkobierzycki2c,85,4913855937748163,5086.5,visa-electron,4/11/2022,online,pending,85,5.22
arottcher2d,86,3581482631492155,2449.05,jcb,1/14/2022,restaurant,declined,86,8.36
kragat2e,87,3586909995191044,3740.22,jcb,7/12/2022,retail,approved,87,22.7
acarlill2f,88,337941549715851,9872.78,americanexpress,4/11/2022,online,pending,88,17.65
ogian2g,89,3571929913676808,7272.99,jcb,9/21/2022,retail,declined,89,14.67
hstaveley2h,90,5602221620828304,4172.92,bankcard,10/2/2022,retail,approved,90,9.43
mpaty2i,91,5228451366879484,2359.37,mastercard,7/3/2022,retail,declined,91,12.96
rbertenshaw2j,92,6304576215303149171,2672.73,laser,8/1/2022,retail,approved,92,15.03
aprobbing2k,93,3548978371596974,6443.23,jcb,7/16/2022,retail,pending,93,8.7
fsickamore2l,94,30572419966439,5541.83,diners-club-carte-blanche,7/24/2022,retail,declined,94,17.34
fsegot2m,95,5426412328268166,4019.19,mastercard,6/30/2022,restaurant,pending,95,20.39
hshyres2n,96,3541642346797037,3285.91,jcb,11/14/2022,online,approved,96,15.42
kcrooke2o,97,3530468910674276,733.2,jcb,9/27/2022,online,approved,97,5.69
bsummerside2p,98,5602229001283254,4397.97,bankcard,5/4/2022,online,approved,98,6.52
dglanz2q,99,5602256712483741,3729.7,bankcard,2/23/2022,restaurant,declined,99,6.45
fgiovannoni2r,100,3562704814818846,8511.29,jcb,7/3/2022,restaurant,pending,100,12.82
bfieldstone2s,101,5602235328347250,10.27,bankcard,10/3/2022,retail,pending,101,12.34
rweald2t,102,3578406795135289,6411.0,jcb,6/29/2022,online,pending,102,3.42
cpiken2u,103,5048370433199015,5796.35,mastercard,1/15/2022,restaurant,approved,103,21.39
vmagrannell2v,104,3541784858056749,4109.41,jcb,10/18/2022,restaurant,approved,104,17.54
jhavers2w,105,30114660968754,7906.39,diners-club-carte-blanche,9/19/2022,retail,approved,105,22.72
hdelia2x,106,5048378066314850,5451.66,mastercard,7/13/2022,restaurant,pending,106,19.65
wgetcliffe2y,107,30131508249718,5002.09,diners-club-carte-blanche,8/23/2022,online,declined,107,12.62
gnitto2z,108,4041378682660,6987.01,visa,4/12/2022,restaurant,declined,108,13.94
acurgenven30,109,5392040545495807,8761.76,mastercard,2/16/2022,retail,pending,109,20.3
sblandamere31,110,4041593595468239,9370.78,visa,9/16/2022,retail,approved,110,11.8
dgoldis32,111,3585791841151518,2631.6,jcb,4/7/2022,online,approved,111,2.06
cpiper33,112,5426713927851322,5822.84,diners-club-us-ca,9/5/2022,retail,approved,112,11.41
rrainton34,113,4410016222451694,687.38,visa,1/19/2022,restaurant,pending,113,5.4
sgreensted35,114,3589943885267975,2179.87,jcb,3/16/2022,retail,pending,114,12.82
mwerndley36,115,6763839670248595518,2722.15,maestro,12/8/2022,online,declined,115,6.76
iklosges37,116,3589051174297057,9375.16,jcb,1/27/2022,retail,declined,116,5.66
glyven38,117,6761936517323114432,9568.12,maestro,9/6/2022,retail,declined,117,15.2
scheer39,118,6761479867350245200,1263.14,maestro,2/2/2022,online,approved,118,1.11
jkopke3a,119,3536276275482720,1664.35,jcb,4/18/2022,online,pending,119,11.82
srubee3b,120,5100139292163239,4246.1,mastercard,7/5/2022,restaurant,declined,120,5.12
lelkins3c,121,3547453543758671,195.73,jcb,12/14/2022,retail,approved,121,12.03
ngrelka3d,122,4405892806393917,3974.14,visa-electron,3/1/2022,restaurant,pending,122,16.52
jclarkson3e,123,3589465387760844,8717.97,jcb,6/24/2022,restaurant,approved,123,19.33
zwooff3f,124,5002354506170172,4892.46,mastercard,6/11/2022,retail,pending,124,9.56
hlindsey3g,125,201816379593268,9471.13,diners-club-enroute,8/19/2022,restaurant,declined,125,1.59
mben3h,126,3576689595190826,960.31,jcb,2/18/2022,restaurant,approved,126,16.81
htomasik3i,127,4936116573313254854,9999.71,switch,5/21/2022,online,declined,127,21.23
drobelin3j,128,3580750683250932,3615.68,jcb,10/28/2022,restaurant,approved,128,8.25
mgreenhough3k,129,3562863295419191,9045.92,jcb,4/12/2022,online,declined,129,8.85
kkobsch3l,130,3562461416464301,6940.92,jcb,5/28/2022,restaurant,pending,130,0.16
qdevons3m,131,67637345695239086,9287.91,maestro,3/22/2022,online,pending,131,13.79
cbenedyktowicz3n,132,3584262122012283,835.39,jcb,6/6/2022,retail,declined,132,0.91
lgoldhawk3o,133,3532856256434792,1997.71,jcb,6/19/2022,retail,pending,133,7.41
cpresman3p,134,30497643080403,8078.28,diners-club-carte-blanche,10/9/2022,online,pending,134,23.94
dolexa3q,135,5602211359266453,9906.2,bankcard,6/19/2022,retail,approved,135,2.7
jrickardsson3r,136,3547384068454638,9461.04,jcb,11/20/2022,retail,declined,136,5.39
kandrasch3s,137,3544065348886938,9301.16,jcb,8/22/2022,retail,declined,137,18.91
jdolman3t,138,3548417052849949,114.29,jcb,6/5/2022,online,approved,138,17.02
ncordon3u,139,3552986861240634,2641.36,jcb,6/30/2022,online,pending,139,16.56
karchard3v,140,3553554668680078,7287.22,jcb,6/17/2022,retail,declined,140,11.03
khazael3w,141,3531334106621191,4604.34,jcb,12/13/2022,online,declined,141,13.91
callbon3x,142,3529896390234471,7732.27,jcb,6/4/2022,restaurant,pending,142,3.99
hsaich3y,143,3535734307826752,906.65,jcb,7/23/2022,restaurant,approved,143,7.95
alegrave3z,144,5602248817869841,3938.33,bankcard,4/20/2022,online,approved,144,17.95
rdeathridge40,145,6767091651247779364,6658.09,solo,3/21/2022,restaurant,approved,145,19.59
aelsey41,146,5641821969160194,8651.83,switch,9/12/2022,restaurant,pending,146,22.44
hkollasch42,147,5048374905205847,8829.17,mastercard,8/16/2022,restaurant,approved,147,4.37
jmitchiner43,148,3536880158880676,5079.33,jcb,1/27/2022,online,pending,148,6.69
dfrake44,149,3557173913180457,5907.6,jcb,1/15/2022,retail,pending,149,2.55
oboome45,150,3536621638821355,8207.85,jcb,2/26/2022,restaurant,pending,150,11.61
atomaselli46,151,5010127833426537,8128.38,mastercard,6/15/2022,online,approved,151,4.27
nclelle47,152,30206165815306,3871.76,diners-club-carte-blanche,5/11/2022,retail,declined,152,4.63
ddayley48,153,347665654934373,5796.28,americanexpress,6/23/2022,online,pending,153,0.93
ningree49,154,3537325727924133,8539.25,jcb,8/18/2022,retail,pending,154,9.37
kkiddell4a,155,3574166440350014,389.77,jcb,4/20/2022,retail,approved,155,20.58
emontfort4b,156,3566205477457431,6067.82,jcb,9/3/2022,online,approved,156,1.55
mfenelon4c,157,5007668411705268,6294.98,mastercard,1/27/2022,retail,pending,157,18.46
rlongfoot4d,158,50384403422582822,4454.65,maestro,6/17/2022,retail,declined,158,9.48
jkeuneke4e,159,5007668041364783,227.76,mastercard,6/5/2022,restaurant,pending,159,12.49
mphant4f,160,5587703214878919,7744.48,mastercard,12/26/2022,restaurant,declined,160,0.55
nhockey4g,161,3581350246600035,8692.5,jcb,10/21/2022,restaurant,approved,161,22.94
ecootes4h,162,5602253255632123,2237.28,bankcard,7/13/2022,retail,pending,162,11.63
sjeandel4i,163,3528946480447920,6372.83,jcb,10/2/2022,online,declined,163,14.7
fclausson4j,164,374288253504905,4975.6,americanexpress,10/10/2022,online,declined,164,16.73
gsterrick4k,165,67627102671769996,9317.08,maestro,11/27/2022,restaurant,approved,165,12.71
wlosty4l,166,3533190609370100,8114.98,jcb,11/7/2022,online,approved,166,17.52
gcartmel4m,167,30339089095737,8828.24,diners-club-carte-blanche,7/22/2022,restaurant,pending,167,8.67
jhallewell4n,168,6759771693084267,6943.84,switch,9/8/2022,online,approved,168,8.53
mbesson4o,169,3564275535689202,3952.58,jcb,11/28/2022,restaurant,declined,169,6.26
nvillalta4p,170,6334419996225252,4372.28,solo,8/28/2022,online,pending,170,9.86
cunger4q,171,3566281916792605,8073.58,jcb,2/6/2022,restaurant,declined,171,0.29
vkirlin4r,172,6709103005877041,7882.22,laser,11/17/2022,restaurant,pending,172,23.07
jkits4s,173,3567155227858546,3989.4,jcb,5/30/2022,restaurant,declined,173,1.59
fstonebanks4t,174,3547269782474303,4307.12,jcb,5/4/2022,online,declined,174,14.23
ecoggles4u,175,5602251720974955,6640.34,bankcard,8/6/2022,restaurant,approved,175,14.19
mdorking4v,176,67615821082629341,8405.2,maestro,11/9/2022,online,approved,176,8.32
tbreeder4w,177,4913568299092423,4755.34,visa-electron,12/21/2022,restaurant,approved,177,23.14
rvasentsov4x,178,3582191719137975,8139.41,jcb,8/7/2022,restaurant,pending,178,9.68
bmuddicliffe4y,179,3557856444067769,6378.32,jcb,2/26/2022,online,declined,179,2.35
dblencoe4z,180,5602248183143573,8333.92,bankcard,1/3/2022,retail,declined,180,3.0
ecastelot50,181,67594767078684052,4184.33,maestro,9/4/2022,restaurant,pending,181,8.69
cfenners51,182,4905981562959430800,5974.26,switch,12/7/2022,online,approved,182,17.96
vlechmere52,183,349904261585007,2933.86,americanexpress,7/18/2022,retail,approved,183,0.27
vlewington53,184,3558437303889160,1417.66,jcb,5/8/2022,online,approved,184,11.08
mgossipin54,185,337941370011552,4083.94,americanexpress,8/11/2022,online,approved,185,12.21
tcooling55,186,4021320770935749,430.14,visa,7/23/2022,online,approved,186,21.38
asnoddin56,187,3577186354429411,9649.15,jcb,4/23/2022,restaurant,declined,187,22.45
dshoesmith57,188,6381528733316091,6170.33,instapayment,8/11/2022,retail,approved,188,22.3
wstockney58,189,6767109026720823429,2721.66,solo,12/23/2022,restaurant,pending,189,20.1
phathway59,190,6390087022336012,5907.71,instapayment,12/5/2022,online,pending,190,10.45
nhellens5a,191,3581860841927302,5081.03,jcb,3/3/2022,retail,approved,191,1.68
gmanser5b,192,3576111074994776,7563.96,jcb,12/4/2022,retail,approved,192,8.42
cmeeks5c,193,5610002584232505,3881.57,bankcard,2/6/2022,online,approved,193,11.36
lconniam5d,194,501864566466096676,7080.93,maestro,10/21/2022,restaurant,approved,194,8.43
csloy5e,195,3577766497096092,9603.22,jcb,4/18/2022,retail,approved,195,11.11
krodrigues5f,196,3582007293355579,9565.27,jcb,11/23/2022,online,declined,196,10.29
kairton5g,197,4911740646411166,4249.12,switch,9/22/2022,retail,declined,197,9.66
thandaside5h,198,630446937042062355,4364.48,laser,6/1/2022,retail,pending,198,1.52
pburkman5i,199,5602221781301034,6547.37,bankcard,4/20/2022,retail,declined,199,8.99
ckarpov5j,200,3556164841184530,5216.02,jcb,11/1/2022,online,declined,200,11.32
sfanti5k,201,676364133158246500,2228.7,maestro,7/6/2022,retail,approved,201,20.95
iupfold5l,202,5893303585046003,183.78,maestro,3/31/2022,online,approved,202,6.03
bnuttey5m,203,3582171798023957,6869.54,jcb,4/11/2022,retail,approved,203,8.7
climbert5n,204,374622319701099,111.23,americanexpress,9/4/2022,restaurant,approved,204,22.47
slenormand5o,205,5602211741885721,5211.47,bankcard,9/16/2022,restaurant,declined,205,13.78
bsallter5p,206,675936168618172384,6358.83,switch,3/5/2022,retail,declined,206,16.5
tkyte5q,207,5410190751913551,3795.75,diners-club-us-ca,7/9/2022,retail,declined,207,6.86
gbygott5r,208,6761596809399515,7878.93,maestro,11/11/2022,retail,pending,208,22.95
thammarberg5s,209,5602259685594361,6039.63,bankcard,4/9/2022,retail,declined,209,14.47
bleas5t,210,3549382566399402,2541.67,jcb,5/8/2022,retail,approved,210,5.83
vponceford5u,211,4672477181871525,8150.46,visa,7/23/2022,retail,approved,211,1.67
hminnock5v,212,4026906865804868,8293.91,visa-electron,7/5/2022,online,approved,212,11.3
socollopy5w,213,5100138998690818,372.85,mastercard,5/4/2022,online,declined,213,19.1
tbarbary5x,214,676367773808966812,3556.83,maestro,10/1/2022,online,declined,214,4.52
mmollin5y,215,4026238128573753,1709.07,visa-electron,12/22/2022,restaurant,approved,215,22.85
amcgready5z,216,3569716653938629,9251.02,jcb,2/12/2022,retail,approved,216,9.21
awhyte60,217,6393213652211260,8111.04,instapayment,5/25/2022,online,pending,217,19.28
llequesne61,218,3556786024661528,8126.91,jcb,5/6/2022,restaurant,approved,218,22.68
jlyte62,219,5048379869018979,9313.47,mastercard,1/3/2022,retail,pending,219,2.42
wshakspeare63,220,3553348891233007,8273.95,jcb,10/30/2022,restaurant,declined,220,20.52
khayhow64,221,6371538952314794,1188.4,instapayment,4/14/2022,restaurant,pending,221,6.35
sfairweather65,222,375553810913934,956.53,americanexpress,8/7/2022,retail,approved,222,17.49
bbloxland66,223,5108753072550142,6689.14,mastercard,8/21/2022,online,approved,223,0.18
kwebbe67,224,3562233473287317,976.79,jcb,11/8/2022,retail,declined,224,15.19
hplumley68,225,3541183560843934,1974.06,jcb,11/29/2022,restaurant,declined,225,7.43
cpatek69,226,30523776233806,3642.94,diners-club-carte-blanche,1/14/2022,retail,approved,226,2.19
rcrusham6a,227,3572007317928106,2472.82,jcb,6/12/2022,online,pending,227,19.64
msweett6b,228,3565802074964529,6623.59,jcb,6/21/2022,restaurant,pending,228,4.05
walliband6c,229,3574660951867481,9863.86,jcb,11/7/2022,restaurant,pending,229,14.7
lbrinkman6d,230,3554879570523531,8337.51,jcb,11/5/2022,retail,pending,230,3.98
lalloisi6e,231,501847910419333673,204.78,maestro,4/3/2022,online,approved,231,6.79
bhaward6f,232,3555560081834976,3243.55,jcb,12/20/2022,restaurant,approved,232,17.08
dgleave6g,233,4041373092288822,622.23,visa,10/16/2022,online,declined,233,9.3
kzanetello6h,234,30023090031937,5352.41,diners-club-carte-blanche,12/12/2022,retail,pending,234,4.67
hpetrenko6i,235,201509607562987,6949.57,diners-club-enroute,2/14/2022,restaurant,approved,235,16.09
dsheahan6j,236,372301924382486,8642.51,americanexpress,10/21/2022,retail,pending,236,8.2
cdwine6k,237,3542564010770455,9990.67,jcb,9/29/2022,restaurant,pending,237,0.69
gwallwood6l,238,5582074164469900,5272.68,mastercard,1/26/2022,restaurant,declined,238,18.14
amclaggan6m,239,3544728852317372,7340.84,jcb,10/25/2022,restaurant,declined,239,1.11
mfarrow6n,240,6762457818432753020,772.52,maestro,12/3/2022,online,approved,240,18.85
dpickworth6o,241,4017955545706481,4460.84,visa,4/19/2022,retail,approved,241,8.62
astanden6p,242,5641821551152640848,2782.61,switch,4/3/2022,online,pending,242,23.11
mpotten6q,243,201824391176559,2728.38,diners-club-enroute,8/30/2022,retail,declined,243,3.79
hkunat6r,244,372301342190651,6565.76,americanexpress,6/27/2022,retail,declined,244,0.82
ipaine6s,245,4508044055421298,7813.47,visa-electron,10/28/2022,restaurant,declined,245,8.85
ccray6t,246,3578137384235434,4878.96,jcb,9/6/2022,retail,approved,246,23.61
cwarry6u,247,337941852421923,3528.05,americanexpress,9/2/2022,online,declined,247,16.5
msylvaine6v,248,5893038973795577,1987.16,maestro,6/10/2022,online,approved,248,18.44
rgajownik6w,249,5602231650465224,5354.74,china-unionpay,5/12/2022,restaurant,pending,249,21.05
tdivers6x,250,5610478099844374,2246.82,bankcard,11/13/2022,retail,pending,250,6.62
mbranchett6y,251,4175005649427135,8414.03,visa-electron,10/29/2022,retail,declined,251,9.94
frearden6z,252,5602227431832013,9901.7,bankcard,5/19/2022,restaurant,pending,252,11.41
hforce70,253,3568192986517699,4311.13,jcb,1/30/2022,retail,declined,253,5.2
jkunzler71,254,6398429869853422,6243.88,instapayment,11/13/2022,retail,approved,254,16.59
eyoutead72,255,3579689881507953,3606.19,jcb,4/28/2022,retail,pending,255,19.12
amccoll73,256,4405406590059459,440.41,visa-electron,5/17/2022,restaurant,pending,256,0.31
jcready74,257,3587850087000769,5332.48,jcb,5/10/2022,restaurant,pending,257,4.89
gstolberg75,258,374288317411394,4333.37,americanexpress,12/19/2022,restaurant,approved,258,0.5
xgronowe76,259,6333416265464243985,5229.39,switch,12/18/2022,online,pending,259,19.21
sguildford77,260,3549010897811353,2915.96,jcb,3/30/2022,retail,declined,260,14.57
lchaim78,261,560222310252892201,1088.77,china-unionpay,2/11/2022,restaurant,declined,261,10.44
jkenion79,262,347425679699638,8663.86,americanexpress,3/7/2022,online,approved,262,10.81
mspens7a,263,3556735318710343,7403.87,jcb,2/24/2022,online,pending,263,0.61
jseavers7b,264,490340669217264617,9524.75,switch,11/22/2022,retail,approved,264,2.83
trangell7c,265,5007664965560761,9149.55,mastercard,2/21/2022,restaurant,pending,265,1.65
efullilove7d,266,3560821455792171,5693.91,jcb,9/29/2022,retail,approved,266,5.87
pmacnally7e,267,5602216881156585,9388.5,bankcard,4/27/2022,restaurant,approved,267,1.14
niannitti7f,268,5002356787623498,1172.04,mastercard,10/31/2022,restaurant,pending,268,20.81
mkarlsson7g,269,5125952883126212,6499.51,mastercard,10/1/2022,retail,approved,269,11.38
mkydde7h,270,3547781063320815,6124.92,jcb,2/20/2022,retail,declined,270,0.14
nisaaksohn7i,271,5227215889341061,2297.83,mastercard,5/6/2022,retail,pending,271,10.88
dfeore7j,272,4911574024583621,177.97,switch,7/5/2022,online,approved,272,19.6
rleebetter7k,273,5100172233565709,7372.3,mastercard,11/22/2022,online,declined,273,3.5
lchaters7l,274,589379956879590501,7851.11,maestro,8/11/2022,online,declined,274,9.49
broisen7m,275,3555273301269995,8784.52,jcb,6/21/2022,online,declined,275,7.44
lheersema7n,276,3555259790258789,4552.99,jcb,6/23/2022,restaurant,pending,276,3.14
nhandy7o,277,3581539805325519,4036.09,jcb,9/21/2022,restaurant,approved,277,17.06
ressel7p,278,3532139462605012,2506.81,jcb,1/3/2022,restaurant,approved,278,21.77
nauden7q,279,3531543539251778,8952.65,jcb,10/29/2022,retail,approved,279,21.4
pinglefield7r,280,6767103529992787319,9817.5,solo,12/21/2022,restaurant,pending,280,13.5
hhousen7s,281,3565184804349135,4557.74,jcb,9/11/2022,restaurant,declined,281,16.62
kkiessel7t,282,3577554393757748,3976.04,jcb,2/8/2022,retail,pending,282,7.95
jbeetham7u,283,3569566875392901,3380.31,jcb,9/12/2022,restaurant,approved,283,18.51
vtwigge7v,284,5602241061335007,6268.0,bankcard,2/12/2022,retail,declined,284,1.36
citschakov7w,285,3540738364713145,3604.18,jcb,4/16/2022,retail,pending,285,22.26
bpallas7x,286,5507060953206803,191.6,diners-club-us-ca,8/28/2022,retail,declined,286,3.84
bhounsom7y,287,6331100217342609304,1001.55,switch,11/24/2022,retail,declined,287,21.68
qtaplin7z,288,3571106324575693,4668.6,jcb,6/20/2022,online,pending,288,17.53
atomanek80,289,3570620620834464,6632.76,jcb,5/6/2022,restaurant,pending,289,2.04
oburdytt81,290,3541564429386308,6289.2,jcb,4/11/2022,retail,declined,290,2.37
agoundrill82,291,6706282655436093,9614.67,laser,10/10/2022,online,declined,291,11.13
frase83,292,4175000016574791,9276.4,visa-electron,3/17/2022,retail,pending,292,5.02
wzaniolini84,293,3553821483760405,6041.71,jcb,11/11/2022,restaurant,approved,293,5.8
abass85,294,6382643028684761,7701.54,instapayment,6/13/2022,online,declined,294,14.82
kbeddon86,295,5610018273168875,6136.15,bankcard,6/24/2022,online,pending,295,18.92
wgrizard87,296,4905488031629129,8401.6,switch,2/9/2022,restaurant,pending,296,9.02
lhassan88,297,30564205709461,8601.29,diners-club-carte-blanche,10/6/2022,restaurant,pending,297,14.63
fhedlestone89,298,3552542641990764,7183.41,jcb,1/11/2022,restaurant,approved,298,1.96
fheathcott8a,299,3564828435244526,4022.78,jcb,9/3/2022,retail,declined,299,7.3
cmeegin8b,300,5893864439595875,1474.76,maestro,8/12/2022,restaurant,pending,300,13.93
afilasov8c,301,5010124901197009,7165.87,mastercard,11/11/2022,online,approved,301,14.61
dfontenot8d,302,670934697760781900,840.96,laser,10/5/2022,retail,approved,302,18.45
ywebbe8e,303,30579197590174,3569.67,diners-club-carte-blanche,9/2/2022,online,approved,303,2.18
jvitler8f,304,3589370477220131,1688.22,jcb,10/24/2022,online,pending,304,18.55
rdeamaya8g,305,30251705280066,2671.2,diners-club-carte-blanche,4/13/2022,restaurant,pending,305,16.79
atruelove8h,306,3562151492939769,99.03,jcb,5/5/2022,online,declined,306,17.04
sbelhome8i,307,4041590821419,2311.92,visa,5/26/2022,retail,pending,307,22.51
